Comment,Designator,Footprint,LCSC,Quantity
47p,"C2,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C14857,2
100K,R23,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,1
10n,"C10,C14,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,3
22n,"C1,C12",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1729,2
10K,"R13,R14,R3,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
4n7,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1744,1
1M,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17514,1
2K2,"R15,R18,R20,R22,R27,R30",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17520,6
220K,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17556,1
22K,"R10,R11,R21,R4,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560,6
330K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
33K,"R16,R17",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17633,2
4K7,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,1
470K,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17709,1
100p,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1790,1
39K,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23153,1
3K3,R24,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26010,1
100n,"C18,C20,C22,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,4
2n2,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260,1
20K,"R25,R26,R28,R29",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4328,4
1n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653,1
47n,"C7,C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C53134,2
220n,"C13,C16",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5378,2
1N4148,D3,PinHeader_1x02_P2.54mm_Vertical,,1
1N4148,D1,PinHeader_1x02_P2.54mm_Vertical,,1
A50K,VOL1,potentiometer_16_5_small_common,,1
LED,L4,PinHeader_1x02_P2.54mm_Vertical,,1
1N4148,D2,PinHeader_1x02_P2.54mm_Vertical,,1
1N4148,D4,PinHeader_1x02_P2.54mm_Vertical,,1
LED,L1,PinHeader_1x02_P2.54mm_Vertical,,1
TL072,U3,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,,1
B100K,TREBLE1,potentiometer_16_5_small_common,,1
TL072,U4,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,,1
TL072,U1,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,,1
LED,L3,PinHeader_1x02_P2.54mm_Vertical,,1
1N5817,D5,D_DO-41_SOD81_P10.16mm_Horizontal,,1
22u,C21,C_Radial_D10.0mm_H20.0mm_P5.00mm,,1
C10K,PRES1,potentiometer_16_5_small_common,,1
Conn_01x04_Pin,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
100K,TRIM1,Potentiometer_Runtron_RM-065_Vertical,,1
TL072,U2,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,,1
C100K,GAIN1,potentiometer_16_5_small_common,,1
C100K,TIGHT1,potentiometer_16_5_small_common,,1
LED,L2,PinHeader_1x02_P2.54mm_Vertical,,1
100u,C17,C_Radial_D10.0mm_H20.0mm_P5.00mm,,1
C100K,MID1,potentiometer_16_5_small_common,,1
22u,C19,C_Radial_D10.0mm_H20.0mm_P5.00mm,,1
C100K,BASS1,potentiometer_16_5_small_common,,1
